sample_id,split,source,weather,date,timestamp,group_id,selection_target_occupancy,occupancy_ratio,known_slots,occupied,vacant,unknown,width,height,remote_path,download_url,local_path
pklot_dev_011,development,ufpr04,cloudy,2013-01-15,2013-01-15T15:31:53Z,ufpr04/2013-01-15,0.5,0.500000,28,14,14,0,1280,720,data/data_6/2013-01-15_15_31_53.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_6/2013-01-15_15_31_53.jpg?download=true,data/raw/pklot/images/ufpr04/2013-01-15_15_31_53.jpg
pklot_dev_012,development,ufpr04,cloudy,2012-12-14,2012-12-14T12:40:08Z,ufpr04/2012-12-14,0.8,0.785714,28,22,6,0,1280,720,data/data_7/2012-12-14_12_40_08.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_7/2012-12-14_12_40_08.jpg?download=true,data/raw/pklot/images/ufpr04/2012-12-14_12_40_08.jpg
pklot_dev_013,development,ufpr04,rainy,2013-01-17,2013-01-17T09:20:05Z,ufpr04/2013-01-17,0.2,0.192308,26,5,21,2,1280,720,data/data_8/2013-01-17_09_20_05.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_8/2013-01-17_09_20_05.jpg?download=true,data/raw/pklot/images/ufpr04/2013-01-17_09_20_05.jpg
pklot_dev_014,development,ufpr04,rainy,2012-12-21,2012-12-21T18:20:14Z,ufpr04/2012-12-21,0.5,0.500000,28,14,14,0,1280,720,data/data_8/2012-12-21_18_20_14.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_8/2012-12-21_18_20_14.jpg?download=true,data/raw/pklot/images/ufpr04/2012-12-21_18_20_14.jpg
pklot_dev_015,development,ufpr04,rainy,2012-12-19,2012-12-19T20:10:16Z,ufpr04/2012-12-19,0.8,0.857143,28,24,4,0,1280,720,data/data_8/2012-12-19_20_10_16.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_8/2012-12-19_20_10_16.jpg?download=true,data/raw/pklot/images/ufpr04/2012-12-19_20_10_16.jpg
pklot_dev_016,development,ufpr04,sunny,2012-12-16,2012-12-16T19:20:16Z,ufpr04/2012-12-16,0.2,0.214286,28,6,22,0,1280,720,data/data_4/2012-12-16_19_20_16.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_4/2012-12-16_19_20_16.jpg?download=true,data/raw/pklot/images/ufpr04/2012-12-16_19_20_16.jpg
pklot_dev_017,development,ufpr04,sunny,2012-12-21,2012-12-21T13:40:09Z,ufpr04/2012-12-21,0.5,0.500000,28,14,14,0,1280,720,data/data_5/2012-12-21_13_40_09.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_5/2012-12-21_13_40_09.jpg?download=true,data/raw/pklot/images/ufpr04/2012-12-21_13_40_09.jpg
pklot_dev_018,development,ufpr04,sunny,2012-12-18,2012-12-18T20:40:17Z,ufpr04/2012-12-18,0.8,0.800000,25,20,5,3,1280,720,data/data_4/2012-12-18_20_40_17.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_4/2012-12-18_20_40_17.jpg?download=true,data/raw/pklot/images/ufpr04/2012-12-18_20_40_17.jpg
pklot_dev_019,development,ufpr05,cloudy,2013-03-09,2013-03-09T09:20:03Z,ufpr05/2013-03-09,0.2,0.200000,40,8,32,0,1280,720,data/data_12/2013-03-09_09_20_03.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_12/2013-03-09_09_20_03.jpg?download=true,data/raw/pklot/images/ufpr05/2013-03-09_09_20_03.jpg
pklot_dev_020,development,ufpr05,cloudy,2013-03-16,2013-03-16T09:25:04Z,ufpr05/2013-03-16,0.5,0.500000,40,20,20,0,1280,720,data/data_10/2013-03-16_09_25_04.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_10/2013-03-16_09_25_04.jpg?download=true,data/raw/pklot/images/ufpr05/2013-03-16_09_25_04.jpg
pklot_dev_021,development,ufpr05,cloudy,2013-03-14,2013-03-14T18:16:06Z,ufpr05/2013-03-14,0.8,0.800000,40,32,8,0,1280,720,data/data_11/2013-03-14_18_16_06.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_11/2013-03-14_18_16_06.jpg?download=true,data/raw/pklot/images/ufpr05/2013-03-14_18_16_06.jpg
pklot_dev_022,development,ufpr05,rainy,2013-03-19,2013-03-19T07:10:01Z,ufpr05/2013-03-19,0.2,0.250000,40,10,30,0,1280,720,data/data_12/2013-03-19_07_10_01.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_12/2013-03-19_07_10_01.jpg?download=true,data/raw/pklot/images/ufpr05/2013-03-19_07_10_01.jpg
pklot_dev_023,development,ufpr05,rainy,2013-04-12,2013-04-12T17:55:13Z,ufpr05/2013-04-12,0.5,0.500000,38,19,19,2,1280,720,data/data_12/2013-04-12_17_55_13.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_12/2013-04-12_17_55_13.jpg?download=true,data/raw/pklot/images/ufpr05/2013-04-12_17_55_13.jpg
pklot_dev_024,development,ufpr05,rainy,2013-03-20,2013-03-20T17:00:12Z,ufpr05/2013-03-20,0.8,0.800000,40,32,8,0,1280,720,data/data_12/2013-03-20_17_00_12.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_12/2013-03-20_17_00_12.jpg?download=true,data/raw/pklot/images/ufpr05/2013-03-20_17_00_12.jpg
pklot_dev_025,development,ufpr05,sunny,2013-02-22,2013-02-22T07:10:01Z,ufpr05/2013-02-22,0.2,0.200000,40,8,32,0,1280,720,data/data_9/2013-02-22_07_10_01.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_9/2013-02-22_07_10_01.jpg?download=true,data/raw/pklot/images/ufpr05/2013-02-22_07_10_01.jpg
pklot_dev_026,development,ufpr05,sunny,2013-03-05,2013-03-05T07:20:01Z,ufpr05/2013-03-05,0.5,0.500000,40,20,20,0,1280,720,data/data_9/2013-03-05_07_20_01.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_9/2013-03-05_07_20_01.jpg?download=true,data/raw/pklot/images/ufpr05/2013-03-05_07_20_01.jpg
pklot_dev_027,development,ufpr05,sunny,2013-03-11,2013-03-11T16:30:12Z,ufpr05/2013-03-11,0.8,0.800000,40,32,8,0,1280,720,data/data_8/2013-03-11_16_30_12.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_8/2013-03-11_16_30_12.jpg?download=true,data/raw/pklot/images/ufpr05/2013-03-11_16_30_12.jpg
