sequence_id,split,image_id,frame_index,timestamp_s,camera_view,annotations,remote_path,download_url,local_path,annotation_status,preannotation_source
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,173,2580,86.000,aerial,417,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002580.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002580.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002580.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,189,2820,94.000,aerial,428,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002820.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002820.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002820.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,204,3045,101.500,aerial,421,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003045.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003045.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003045.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,220,3285,109.500,aerial,420,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003285.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003285.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003285.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,236,3525,117.500,aerial,411,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003525.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003525.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003525.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,251,3750,125.000,aerial,404,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003750.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003750.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003750.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,267,3990,133.000,aerial,406,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003990.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003990.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0003990.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,283,4230,141.000,aerial,422,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004230.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004230.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004230.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,298,4455,148.500,aerial,427,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004455.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004455.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004455.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,314,4695,156.500,aerial,424,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004695.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004695.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004695.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,330,4935,164.500,aerial,427,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004935.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004935.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0004935.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,345,5160,172.000,aerial,417,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0005160.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0005160.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0005160.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,361,5400,180.000,aerial,408,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0005400.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0005400.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0005400.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1208,0,0.000,aerial,355,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000000.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000000.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000000.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1242,408,17.000,aerial,361,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000408.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000408.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000408.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1277,828,34.500,aerial,363,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000828.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000828.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000828.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1311,1236,51.500,aerial,352,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0001236.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0001236.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0001236.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1346,1656,69.000,aerial,349,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0001656.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0001656.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0001656.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1380,2064,86.000,aerial,362,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002064.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002064.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002064.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1415,2484,103.500,aerial,376,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002484.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002484.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002484.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1449,2892,120.500,aerial,348,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002892.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002892.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0002892.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1483,3300,137.500,aerial,366,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0003300.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0003300.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0003300.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1518,3720,155.000,aerial,363,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0003720.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0003720.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0003720.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1552,4128,172.000,aerial,355,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004128.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004128.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004128.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1587,4548,189.500,aerial,349,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004548.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004548.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004548.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1621,4956,206.500,aerial,360,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004956.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004956.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0004956.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1656,5376,224.000,aerial,347,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0005376.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0005376.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0005376.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1690,5784,241.000,aerial,355,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0005784.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0005784.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0005784.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1725,6204,258.500,aerial,357,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0006204.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0006204.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0006204.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1759,6612,275.500,aerial,352,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0006612.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0006612.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0006612.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1793,7020,292.500,aerial,350,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007020.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007020.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007020.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1828,7440,310.000,aerial,342,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007440.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007440.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007440.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1862,7848,327.000,aerial,352,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007848.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007848.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0007848.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1897,8268,344.500,aerial,348,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0008268.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0008268.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0008268.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1931,8676,361.500,aerial,347,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0008676.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0008676.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0008676.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,1966,9096,379.000,aerial,344,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0009096.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0009096.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0009096.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-34-07,validation,2000,9504,396.000,aerial,336,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0009504.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0009504.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0009504.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-25-12,holdout,362,0,0.000,aerial,406,stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000000.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000000.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000000.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-25-12,holdout,370,96,4.000,aerial,399,stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000096.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000096.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000096.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-25-12,holdout,379,204,8.500,aerial,382,stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000204.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000204.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000204.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-25-12,holdout,387,300,12.500,aerial,389,stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000300.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000300.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000300.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-25-12,holdout,396,408,17.000,aerial,385,stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000408.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000408.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000408.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_16-25-12,holdout,404,504,21.000,aerial,397,stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000504.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000504.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-25-12/132c03fc_f0000504.jpg,needs_manual_review,Grand Bassin machine-generated COCO
