sample_id,role,source,date,weather,local_path,image_bytes,image_sha256,slots,known_slots,occupied,vacant,unknown
pklot_dev_014,consumed_development,ufpr04,2012-12-21,rainy,data/raw/pklot/images/ufpr04/2012-12-21_18_20_14.jpg,266170,1c3dda59fe2bf62ba2434e717398f1872fdc02731e1dcbbcf95aa525857cd23c,28,28,14,14,0
pklot_dev_015,consumed_development,ufpr04,2012-12-19,rainy,data/raw/pklot/images/ufpr04/2012-12-19_20_10_16.jpg,300090,71d0193e75a605ab84fe663c34e46cae37cca2bad281d9f7db5c481c916d7088,28,28,24,4,0
pklot_dev_016,consumed_development,ufpr04,2012-12-16,sunny,data/raw/pklot/images/ufpr04/2012-12-16_19_20_16.jpg,275078,cbc921c1e8016084b35f8c59aa7d1daea52fd1631645f6c3263bda61eb8f3b90,28,28,6,22,0
pklot_dev_017,consumed_development,ufpr04,2012-12-21,sunny,data/raw/pklot/images/ufpr04/2012-12-21_13_40_09.jpg,336404,c303f72185322e86063e7a5ce93d85a0d6e90dcaa6a20bf2f353b0fffd08e0d8,28,28,14,14,0
pklot_dev_018,consumed_development,ufpr04,2012-12-18,sunny,data/raw/pklot/images/ufpr04/2012-12-18_20_40_17.jpg,298997,46fc423d4be1ded22f1a6821a56cf02de6a365858a673cd13b15072549b3495f,28,25,20,5,3
pklot_dev_019,consumed_development,ufpr05,2013-03-09,cloudy,data/raw/pklot/images/ufpr05/2013-03-09_09_20_03.jpg,233373,5752e4b082bab560cfa15635f215e96dd577c8e77857dffc55e52bffcc50b388,40,40,8,32,0
pklot_dev_020,consumed_development,ufpr05,2013-03-16,cloudy,data/raw/pklot/images/ufpr05/2013-03-16_09_25_04.jpg,250204,5bfc7f4f1dd35918e0b0fa12793d7e7ddec62c5038c7eb49f3db019bb5227542,40,40,20,20,0
pklot_dev_021,consumed_development,ufpr05,2013-03-14,cloudy,data/raw/pklot/images/ufpr05/2013-03-14_18_16_06.jpg,274357,e3632f9867a9285793460bf315556012972fbfe3329a90678019d3581eb6e5b7,40,40,32,8,0
pklot_dev_022,consumed_development,ufpr05,2013-03-19,rainy,data/raw/pklot/images/ufpr05/2013-03-19_07_10_01.jpg,212143,fdf53c48fb254f436c4b32f5ec1dd9c969e4daf822cffbd6f67bd392caa5a291,40,40,10,30,0
pklot_dev_023,consumed_development,ufpr05,2013-04-12,rainy,data/raw/pklot/images/ufpr05/2013-04-12_17_55_13.jpg,252565,ba4d053d4999e2ed407175868d31127eb0c0fdba4de20b69920987793c20e6e1,40,38,19,19,2
pklot_dev_024,consumed_development,ufpr05,2013-03-20,rainy,data/raw/pklot/images/ufpr05/2013-03-20_17_00_12.jpg,259522,f554f502eef03ceea542a04b41dcb56f594d5a52ab2a470e6a2b244a80834842,40,40,32,8,0
pklot_dev_025,consumed_development,ufpr05,2013-02-22,sunny,data/raw/pklot/images/ufpr05/2013-02-22_07_10_01.jpg,245922,a9dfc1e092fcee213661a8cb78205c290dfbeed0af22773e1f5f1f71c87ac05f,40,40,8,32,0
pklot_dev_026,consumed_development,ufpr05,2013-03-05,sunny,data/raw/pklot/images/ufpr05/2013-03-05_07_20_01.jpg,243227,3ff7e5ee04defba382140606a3dd1270c7bb0af9c95243b83e6a7c5549e97bb9,40,40,20,20,0
pklot_dev_027,consumed_development,ufpr05,2013-03-11,sunny,data/raw/pklot/images/ufpr05/2013-03-11_16_30_12.jpg,273124,f91a29b7b9e4eaa0b71016e40207db84583aa840134b56a6d1735628c48b0452,40,40,32,8,0
