sequence_id,image_count,truth_count,image_truth_one_to_one,images_without_truth,truth_without_images,vector_length,binary_vectors_only,occupied_labels,vacant_labels,transition_frames,slot_state_changes,file_names_naturally_sortable,image_formats,resolutions,sample_names,sample_luminance,median_sample_luminance,auxiliary_low_light_candidate,timestamp_available,reliable_fps_available
gopro25,42,42,True,0,0,21,True,590,292,9,15,True,.jpg,800x600,104GOPRO-GOPR6493.JPG|104GOPRO-GOPR6604.JPG|104GOPRO-GOPR6712.JPG|104GOPRO-GOPR6780.JPG|104GOPRO-GOPR6896.JPG,89.37193333333333|109.69102083333334|114.130875|121.26704791666667|50.8721125,109.69102083333334,False,False,False
gopro26,137,137,True,0,0,21,True,1284,1593,26,43,True,.jpg,800x600,104GOPRO-GOPR8096.JPG|104GOPRO-GOPR8542.JPG|104GOPRO-GOPR8889.JPG|104GOPRO-GOPR9231.JPG|104GOPRO-GOPR9572.JPG,113.862975|85.31019791666667|97.18417916666667|119.35646666666666|45.64916041666667,97.18417916666667,False,False,False
gopro30,133,133,True,0,0,21,True,704,2089,20,34,True,.jpg,800x600,105GOPRO-GOPR6631.JPG|105GOPRO-GOPR7001.JPG|105GOPRO-GOPR7337.JPG|105GOPRO-GOPR7614.JPG|105GOPRO-GOPR7940.JPG,98.78346458333333|90.47182083333334|93.50679375|114.03318958333334|53.277029166666665,93.50679375,False,False,False
gopro31,123,123,True,0,0,21,True,1267,1316,27,46,True,.jpg,800x600,105GOPRO-GOPR9113.JPG|105GOPRO-GOPR9389.JPG|105GOPRO-GOPR9647.JPG|106GOPRO-GOPR0116.JPG|106GOPRO-GOPR0452.JPG,114.45252291666667|116.56178958333334|119.85560416666667|102.422425|41.97452083333334,114.45252291666667,False,False,False
gopro32,122,122,True,0,0,21,True,0,2562,0,0,True,.jpg,800x600,106GOPRO-GOPR1524.JPG|106GOPRO-GOPR1812.JPG|106GOPRO-GOPR2132.JPG|106GOPRO-GOPR2449.JPG|106GOPRO-GOPR2727.JPG,108.81901666666667|118.44060833333333|119.51493333333333|122.53537916666667|83.84492916666666,118.44060833333333,False,False,False
gopro33,59,59,True,0,0,21,True,574,665,13,19,True,.jpg,800x600,106GOPRO-GOPR3077.JPG|106GOPRO-GOPR3244.JPG|106GOPRO-GOPR3366.JPG|106GOPRO-GOPR3527.JPG|106GOPRO-GOPR3657.JPG,116.27811875|114.30266041666667|122.1288125|59.29527291666667|44.97548125,114.30266041666667,False,False,False
gopro34,158,158,True,0,0,21,True,1737,1581,26,49,True,.jpg,800x600,106GOPRO-GOPR4521.JPG|106GOPRO-GOPR4989.JPG|106GOPRO-GOPR5381.JPG|106GOPRO-GOPR5695.JPG|106GOPRO-GOPR6094.JPG,40.76723333333333|115.46184166666667|114.29284791666667|115.85553541666667|41.23330833333333,114.29284791666667,False,False,False
gopro35,123,123,True,0,0,21,True,1211,1372,26,45,True,.jpg,800x600,106GOPRO-GOPR6832.JPG|106GOPRO-GOPR7104.JPG|106GOPRO-GOPR7457.JPG|106GOPRO-GOPR7805.JPG|106GOPRO-GOPR8056.JPG,113.96936458333333|114.9263|114.43661875|109.67821875|46.12011666666667,113.96936458333333,False,False,False
gopro36,140,140,True,0,0,21,True,1464,1476,26,43,True,.jpg,800x600,106GOPRO-GOPR9011.JPG|106GOPRO-GOPR9313.JPG|106GOPRO-GOPR9711.JPG|107GOPRO-GOPR0026.JPG|107GOPRO-GOPR0381.JPG,74.85870833333334|114.07632916666667|110.3592|119.49165625|45.88890625,110.3592,False,False,False
gopro37,97,97,True,0,0,21,True,1206,831,27,40,True,.jpg,800x600,107GOPRO-GOPR1251.JPG|107GOPRO-GOPR1508.JPG|107GOPRO-GOPR1699.JPG|107GOPRO-GOPR1957.JPG|107GOPRO-GOPR2197.JPG,116.85064583333333|113.21343958333334|92.64959166666667|112.77690416666667|117.04250833333333,113.21343958333334,False,False,False
gopro40,153,153,True,0,0,21,True,1154,2059,23,32,True,.jpg,800x600,107GOPRO-GOPR6932.JPG|107GOPRO-GOPR7295.JPG|107GOPRO-GOPR7597.JPG|107GOPRO-GOPR8051.JPG|107GOPRO-GOPR8444.JPG,82.69777916666666|103.02074166666667|88.80860208333333|119.48084583333333|44.215210416666665,88.80860208333333,False,False,False
gopro41,144,144,True,0,0,21,True,1164,1860,21,36,True,.jpg,800x600,107GOPRO-GOPR9419.JPG|107GOPRO-GOPR9737.JPG|108GOPRO-GOPR0085.JPG|108GOPRO-GOPR0496.JPG|108GOPRO-GOPR0853.JPG,110.04412291666667|108.49337083333333|113.98007083333333|116.03037083333334|48.66563958333333,110.04412291666667,False,False,False
gopro46,249,249,True,0,0,21,True,2133,3096,46,84,True,.jpg,800x600,108GOPRO-GOPR6615.JPG|108GOPRO-GOPR7107.JPG|108GOPRO-GOPR7743.JPG|108GOPRO-GOPR9337.JPG|108GOPRO-GOPR9971.JPG,43.631625|87.75081041666667|118.90213125|99.30194375|43.731433333333335,87.75081041666667,False,False,False
gopro52,142,142,True,0,0,21,True,1301,1681,28,41,True,.jpg,800x600,110GOPRO-GOPR3081.JPG|110GOPRO-GOPR3424.JPG|110GOPRO-GOPR3800.JPG|110GOPRO-GOPR4185.JPG|110GOPRO-GOPR4496.JPG,81.36557083333334|119.90790416666667|94.40049791666667|121.91356875|99.88384166666667,99.88384166666667,False,False,False
